  HOTEL_ID      YEAR  MONTH    VISITS  RANK
2336462209024   2015    10      1       1
704374636544    2015    10      1       2
2791728742403   2015    10      1       3
2911987826692   2016    2       1       1
3384434229250   2016    2       1       2
2911987826692   2016    3       1       1
3384434229250   2016    3       1       2
515396075526    2016    4       1       1
721554505731    2016    4       1       2
1425929142277   2016    4       1       3
2911987826692   2016    4       1       4
3384434229250   2016    4       1       5
3066606649351   2016    5       1       1
2121713844226   2016    5       1       2
936302870528    2016    5       1       3
721554505731    2016    5       1       4
515396075526    2016    5       1       5
2765958938630   2016    5       1       6
1425929142277   2016    5       1       7
841813590019    2016    5       1       8
197568495621    2016    5       1       9
2534030704642   2016    5       1       10
627065225217    2016    6       1       1
42949672963     2016    6       1       2
2765958938630   2016    6       1       3
2534030704642   2016    6       1       4
970662608897    2016    6       1       5
3384434229250   2016    6       1       6
1683627180032   2016    6       1       7
2241972928512   2016    6       1       8
721554505731    2016    6       1       9
1425929142277   2016    6       1       10
558345748485    2016    7       1       1
1614907703299   2016    7       1       2
2765958938629   2016    7       1       3
970662608897    2016    7       1       4
1803886264320   2016    7       1       5
1305670057988   2016    7       1       6
841813590016    2016    7       1       7
3186865733632   2016    7       1       8
1357209665540   2016    7       1       9
2473901162496   2016    7       1       10
1812476198914   2016    8       1       1
2087354105856   2016    8       1       2
2448131358725   2016    8       1       3
2207613190148   2016    8       1       4
1357209665540   2016    8       1       5
1614907703299   2016    8       1       6
197568495621    2016    8       1       7
2826088480771   2016    8       1       8
841813590019    2016    8       1       9
1726576852999   2016    8       1       10
85899345920     2016    9       2       1
240518168576    2016    9       2       2
970662608899    2016    9       2       3
541165879297    2016    9       2       4
3075196583940   2016    9       2       5
970662608897    2016    9       2       6
2104533975045   2016    9       2       7
936302870528    2016    9       2       8
1425929142277   2016    9       2       9
884763262976    2016    9       2       10
1864015806473   2016    10      405     1
1958505086979   2016    10      396     2
936302870530    2016    10      395     3
575525617665    2016    10      394     4
1151051235330   2016    10      393     5
695784701953    2016    10      391     6
103079215105    2016    10      390     7
206158430209    2016    10      390     8
2920577761284   2016    10      389     9
2568390443017   2016    10      389     10
3100966387715   2016    11      42      1
2388001816583   2016    11      40      2
1529008357377   2016    11      36      3
1297080123396   2016    11      36      4
2765958938631   2016    11      36      5
197568495619    2016    11      36      6
2594160246788   2016    11      35      7
858993459208    2016    11      35      8
2611340115968   2016    11      35      9
128849018882    2016    11      35      10
618475290628    2016    12      1       1
1322849927172   2016    12      1       2
3169685864452   2016    12      1       3
2388001816576   2016    12      1       4
3075196583943   2016    12      1       5
2671469658114   2016    12      1       6
1803886264327   2016    12      1       7
1099511627780   2016    12      1       8
1408749273090   2016    12      1       9
3212635537413   2016    12      1       10
919123001345    2017    1       1       1
3178275799040   2017    1       1       2
34359738372     2017    2       1       1
2585570312199   2017    2       1       2
3178275799040   2017    2       1       3
1769526525960   2017    2       1       4
919123001345    2017    2       1       5
2190433320961   2017    3       1       1
3178275799040   2017    3       1       2
2585570312199   2017    3       1       3
1108101562370   2017    3       1       4
34359738372     2017    3       1       5
3169685864453   2017    3       1       6
919123001345    2017    3       1       7
1769526525960   2017    3       1       8
2430951489539   2017    3       1       9
936302870528    2017    3       1       10
661424963587    2017    4       1       1
1271310319621   2017    4       1       2
2190433320961   2017    4       1       3
3178275799040   2017    4       1       4
3221225472008   2017    4       1       5
