  HOTEL_ID      YEAR  MONTH    VISITS  RANK
1022202216450   2017    4       1       6
704374636547    2017    4       1       7
2585570312199   2017    4       1       8
876173328389    2017    4       1       9
670014898176    2017    4       1       10
249108103169    2017    5       1       1
352187318273    2017    5       1       2
3109556322310   2017    5       1       3
1537598291968   2017    5       1       4
34359738372     2017    5       1       5
3169685864453   2017    5       1       6
798863917057    2017    5       1       7
1108101562370   2017    5       1       8
2585570312199   2017    5       1       9
2267742732293   2017    5       1       10
1194000908289   2017    6       1       1
2954937499651   2017    6       1       2
2095944040453   2017    6       1       3
652835029000    2017    6       1       4
2095944040452   2017    6       1       5
352187318273    2017    6       1       6
876173328389    2017    6       1       7
876173328388    2017    6       1       8
2293512536072   2017    6       1       9
128849018889    2017    6       1       10
2843268349956   2017    7       3       1
944892805122    2017    7       2       2
2001454759940   2017    7       2       3
670014898176    2017    7       2       4
2920577761286   2017    7       2       5
919123001347    2017    7       2       6
2310692405259   2017    7       2       7
764504178689    2017    7       2       8
3315714752512   2017    7       2       9
137438953476    2017    7       2       10
2491081031684   2017    8       408     1
42949672963     2017    8       403     2
128849018881    2017    8       393     3
2233382993923   2017    8       392     4
2619930050560   2017    8       392     5
1864015806471   2017    8       392     6
377957122048    2017    8       392     7
2611340115970   2017    8       391     8
146028888072    2017    8       390     9
3307124817921   2017    8       390     10
455266533377    2017    9       445     1
2018634629125   2017    9       432     2
893353197572    2017    9       421     3
1881195675654   2017    9       418     4
1829656068103   2017    9       418     5
2920577761284   2017    9       417     6
128849018887    2017    9       414     7
3204045602824   2017    9       414     8
3032246910980   2017    9       413     9
1494648619010   2017    9       412     10
3186865733636   2017    10      57      1
2628519985161   2017    10      51      2
1013612281859   2017    10      51      3
2877628088322   2017    10      50      4
1460288880640   2017    10      50      5
910533066756    2017    10      50      6
1331439861761   2017    10      50      7
1675037245442   2017    10      49      8
893353197570    2017    10      49      9
1314259992576   2017    10      49      10
1821066133505   2017    11      2       1
1709396983812   2017    11      2       2
3015067041792   2017    11      1       3
2937757630467   2017    11      1       4
3023656976388   2017    11      1       5
42949672966     2017    11      1       6
2851858284550   2017    11      1       7
3401614098433   2017    11      1       8
2843268349956   2017    11      1       9
3040836845573   2017    11      1       10
1709396983812   2017    12      1       1
1211180777473   2017    12      1       2
3023656976388   2017    12      1       3
2413771620356   2017    12      1       4
1116691496960   2017    12      1       5
1915555414020   2017    12      1       6
1786706395137   2017    12      1       7
3221225472002   2017    12      1       8
3015067041792   2017    12      1       9
2456721293312   2017    12      1       10
558345748482    2018    8       1       1
2370821947394   2018    8       1       2
2173253451777   2018    8       1       3
2138893713413   2018    9       1       1
214748364801    2018    9       1       2
2173253451777   2018    9       1       3
214748364801    2018    10      1       1
